group1,group2,meandiff,p-adj,lower,upper,reject,Factor,Nivel
CNN CAPTURE-24,CNN ESANN,-0.0745,0.0,-0.0958,-0.0531,True,Modelo,GLOBAL
CNN CAPTURE-24,Random Forest,0.0399,0.0,0.0185,0.0612,True,Modelo,GLOBAL
CNN CAPTURE-24,XGBoost,0.0391,0.0,0.0178,0.0605,True,Modelo,GLOBAL
CNN ESANN,Random Forest,0.1143,0.0,0.093,0.1357,True,Modelo,GLOBAL
CNN ESANN,XGBoost,0.1136,0.0,0.0923,0.135,True,Modelo,GLOBAL
Random Forest,XGBoost,-0.0007,0.9998,-0.0221,0.0206,False,Modelo,GLOBAL
H,T,0.0573,0.0,0.0396,0.0749,True,Sensor,GLOBAL
H,W,0.0736,0.0,0.056,0.0912,True,Sensor,GLOBAL
T,W,0.0163,0.0763,-0.0013,0.034,False,Sensor,GLOBAL
Acc,Acc+Gyro,0.0825,0.0,0.0708,0.0943,True,Config,GLOBAL
4,15,-0.1384,0.0,-0.1486,-0.1281,True,NumClases,GLOBAL
CNN CAPTURE-24,CNN ESANN,-0.1368,0.0,-0.178,-0.0956,True,Modelo,Sensor=T
CNN CAPTURE-24,Random Forest,-0.0221,0.5093,-0.0634,0.0191,False,Modelo,Sensor=T
CNN CAPTURE-24,XGBoost,-0.0193,0.6216,-0.0605,0.0219,False,Modelo,Sensor=T
CNN ESANN,Random Forest,0.1146,0.0,0.0734,0.1558,True,Modelo,Sensor=T
CNN ESANN,XGBoost,0.1175,0.0,0.0762,0.1587,True,Modelo,Sensor=T
Random Forest,XGBoost,0.0028,0.998,-0.0384,0.044,False,Modelo,Sensor=T
CNN CAPTURE-24,CNN ESANN,-0.0554,0.0,-0.0823,-0.0285,True,Modelo,Sensor=W
CNN CAPTURE-24,Random Forest,0.0512,0.0,0.0242,0.0781,True,Modelo,Sensor=W
CNN CAPTURE-24,XGBoost,0.0543,0.0,0.0274,0.0812,True,Modelo,Sensor=W
CNN ESANN,Random Forest,0.1065,0.0,0.0796,0.1335,True,Modelo,Sensor=W
CNN ESANN,XGBoost,0.1097,0.0,0.0828,0.1366,True,Modelo,Sensor=W
Random Forest,XGBoost,0.0032,0.9902,-0.0237,0.0301,False,Modelo,Sensor=W
